site,AU-Fog
year,2007
lat,-12.5452
lon,131.307
timezone,200701010030,9.5
htower,200701010030,5
timeres,halfhourly
sc_negl,0
notes,processed on 20160517111411 with qc_auto v1.0 compiled using Ms VC++ 9.0 on Mar 17 2016 at 16:58:38
notes,var G_1 was renamed in G
notes,201605171114 qc visual comparison SY
notes,201605171114 qc visual comparison variable: PPFD_IN missing
notes,201605171113 qc visual SY
notes,201605171113 qc visual MY (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: Ta (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: RH (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: WS (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: NetRad (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: LW_IN (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: LE (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: H (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: ustar (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: SW_IN (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: CO2 (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: Fc (carlo)
notes,201605171109 G_1 Values sing OK
notes,201605171108 G not found
notes,201605171108 SSITC_TEST checker FC_SSITC_TEST is empty
notes,201605171108 SSITC_TEST checker LE_SSITC_TEST is empty
notes,201605171108 SSITC_TEST checker variable: LE_SSITC_TEST is not found
notes,201605171108 SSITC_TEST checker H_SSITC_TEST is empty
notes,201605171108 SSITC_TEST checker variable: H_SSITC_TEST is not found
notes,201605171108 SSITC_TEST checker variable: FC_SSITC_TEST is not found
notes,201605171108 Rename variable WEEK with Week
notes,201605091313 Rename variable ustar with USTAR
notes,201605091313 Rename variable Ts_1 with TS_1
notes,201605091313 Rename variable Ta with TA
notes,201605091313 Rename variable SWout with SW_OUT
notes,201605091313 Rename variable SWin with SW_IN
notes,201605091313 Rename variable Pa with PA
notes,201605091313 Rename variable NetRad with NETRAD
notes,201605091313 Rename variable LWout with LW_OUT
notes,201605091313 Rename variable LWin with LW_IN
notes,201605091313 Rename variable G1 with G_1
notes,201605091313 Rename variable Fc with FC
notes,dataset retrieved on 20160509115856
TIMESTAMP_START,TIMESTAMP_END,NEE,TA,USTAR,SW_IN
200701010000,200701010030,-9999,24.6,0.08,0
200701010030,200701010100,-9999,24.64,0.1,0
200701010100,200701010130,-9999,24.73,0.19,0
200701010130,200701010200,2.38917,24.78,0.18,0
200701010200,200701010230,2.18796,24.76,0.16,0
200701010230,200701010300,2.49213,24.72,0.19,0
200701010300,200701010330,2.43593,24.71,0.17,0
200701010330,200701010400,1.36917,24.56,0.05,0
200701010400,200701010430,1.74704,24.28,0.08,0
200701010430,200701010500,1.74139,24.05,0.07,0
200701010500,200701010530,1.25796,23.91,0.03,0
200701010530,200701010600,-9999,23.9,0.07,0
200701010600,200701010630,0.496574,23.6,0.09,2
200701010630,200701010700,-2.35759,23.55,0.05,44
200701010700,200701010730,-9999,24.15,0.1,131
200701010730,200701010800,-2.60111,24.86,0.16,255
200701010800,200701010830,-4.57222,25.93,0.11,375
200701010830,200701010900,-8.95972,26.84,0.12,489
200701010900,200701010930,-6.47407,27.63,0.13,601
200701010930,200701011000,-5.21787,28.47,0.12,724
200701011000,200701011030,-6.54787,29.73,0.1,835
200701011030,200701011100,-7.28519,30.58,0.15,913
200701011100,200701011130,-5.71731,31.1,0.2,980
200701011130,200701011200,-7.45528,31.73,0.16,1021
200701011200,200701011230,-9.19213,32.23,0.25,997
200701011230,200701011300,-6.73426,32.72,0.19,1057
200701011300,200701011330,-6.92157,33.26,0.23,1087
200701011330,200701011400,-7.24157,33.71,0.32,1089
200701011400,200701011430,-6.62102,34.15,0.2,956
200701011430,200701011500,-6.45167,34.32,0.19,923
200701011500,200701011530,-5.37426,34.14,0.17,770
200701011530,200701011600,-7.65898,34.4,0.22,723
200701011600,200701011630,-5.79361,34.11,0.23,581
200701011630,200701011700,-3.78204,33.99,0.23,472
200701011700,200701011730,-2.56,32.95,0.2,168
200701011730,200701011800,-0.471574,31.85,0.14,105
200701011800,200701011830,-0.0274074,31.3,0.12,75
200701011830,200701011900,0.173611,30.74,0.11,35
200701011900,200701011930,1.24139,30.22,0.09,2
200701011930,200701012000,-9999,29.45,0.26,0
200701012000,200701012030,4.35028,28.5,0.25,0
200701012030,200701012100,3.14213,27.02,0.31,0
200701012100,200701012130,1.26583,26.48,0.15,0
200701012130,200701012200,0.329352,26.62,0.11,0
200701012200,200701012230,2.75824,26.38,0.13,0
200701012230,200701012300,0.763611,26.14,0.06,0
200701012300,200701012330,1.98352,26.07,0.16,0
200701012330,200701020000,2.83,25.99,0.15,0
200701020000,200701020030,-9999,25.94,0.13,0
200701020030,200701020100,1.17639,25.93,0.06,0
200701020100,200701020130,-9999,25.51,0.09,0
200701020130,200701020200,1.32204,24.86,0.03,0
200701020200,200701020230,2.24889,24.73,0.05,0
200701020230,200701020300,3.41046,24.32,0.04,0
200701020300,200701020330,-0.344167,24.22,0.06,0
200701020330,200701020400,2.56935,24.12,0.1,0
200701020400,200701020430,2.8238,24.05,0.14,0
200701020430,200701020500,-9999,23.92,0.08,0
200701020500,200701020530,4.49509,23.9,0.09,0
