site,AU-Fog
year,2008
lat,-12.5452
lon,131.307
timezone,200801010030,9.5
htower,200801010030,5
timeres,halfhourly
sc_negl,0
notes,processed on 20160517111414 with qc_auto v1.0 compiled using Ms VC++ 9.0 on Mar 17 2016 at 16:58:38
notes,var G_1 was renamed in G
notes,201605171114 qc visual comparison SY
notes,201605171114 qc visual comparison variable: PPFD_IN missing
notes,201605171113 qc visual SY
notes,201605171113 qc visual MY (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: Ta (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: RH (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: WS (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: NetRad (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: LW_IN (carlo)
notes,201605171110 apply change log file for variable X: TIMESTAMP_END variable Y: LE (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: H (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: ustar (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: SW_IN (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: CO2 (carlo)
notes,201605171109 apply change log file for variable X: TIMESTAMP_END variable Y: Fc (carlo)
notes,201605171109 G_1 Values sing OK
notes,201605171109 G not found
notes,201605171109 SSITC_TEST checker FC_SSITC_TEST is empty
notes,201605171109 SSITC_TEST checker LE_SSITC_TEST is empty
notes,201605171109 SSITC_TEST checker variable: LE_SSITC_TEST is not found
notes,201605171109 SSITC_TEST checker H_SSITC_TEST is empty
notes,201605171109 SSITC_TEST checker variable: H_SSITC_TEST is not found
notes,201605171109 SSITC_TEST checker variable: FC_SSITC_TEST is not found
notes,201605171108 "variable: RH
notes,201605171108 "variable: RH
notes,201605171108 "variable: RH
notes,201605171108 Rename variable WEEK with Week
notes,201605091313 Rename variable ustar with USTAR
notes,201605091313 Rename variable Ts_1 with TS_1
notes,201605091313 Rename variable Ta with TA
notes,201605091313 Rename variable SWout with SW_OUT
notes,201605091313 Rename variable SWin with SW_IN
notes,201605091313 Rename variable Pa with PA
notes,201605091313 Rename variable NetRad with NETRAD
notes,201605091313 Rename variable LWout with LW_OUT
notes,201605091313 Rename variable LWin with LW_IN
notes,201605091313 Rename variable G1 with G_1
notes,201605091313 Rename variable Fc with FC
notes,dataset retrieved on 20160509115841
TIMESTAMP_START,TIMESTAMP_END,NEE,TA,USTAR,SW_IN
200801010000,200801010030,-9999,25.59,0.1,0
200801010030,200801010100,3.00981,25.52,0.06,0
200801010100,200801010130,-9999,25.4,0.1,0
200801010130,200801010200,-0.241111,25.31,0.06,0
200801010200,200801010230,-2.66287,25.39,0.15,0
200801010230,200801010300,5.33148,25.32,0.07,0
200801010300,200801010330,-9999,25.04,0.18,0
200801010330,200801010400,-9999,25.05,0.19,0
200801010400,200801010430,-0.519074,25.17,0.06,0
200801010430,200801010500,-9999,25,0.15,0
200801010500,200801010530,1.6663,24.93,0.13,0
200801010530,200801010600,-9999,24.94,0.29,0
200801010600,200801010630,0.158796,25.17,0.07,1
200801010630,200801010700,-9999,24.99,-9999,23
200801010700,200801010730,-9999,24.95,-9999,68
200801010730,200801010800,-2.1263,25.15,0.16,170
200801010800,200801010830,-7.60787,25.68,0.2,367
200801010830,200801010900,-8.43463,26.48,0.25,523
200801010900,200801010930,-10.5208,27.68,0.2,638
200801010930,200801011000,-9999,28.33,-9999,506
200801011000,200801011030,-9999,29.04,-9999,684
200801011030,200801011100,-9999,29.44,-9999,615
200801011100,200801011130,-9999,29.76,-9999,651
200801011130,200801011200,-9999,29.95,-9999,930
200801011200,200801011230,-9999,30.45,-9999,954
200801011230,200801011300,-9999,30.54,-9999,667
200801011300,200801011330,-9999,30.74,-9999,847
200801011330,200801011400,-9999,31.11,-9999,903
200801011400,200801011430,-9999,31.45,-9999,816
200801011430,200801011500,-9999,31.68,-9999,678
200801011500,200801011530,-9999,31.86,-9999,572
200801011530,200801011600,-9999,31.52,0.34,466
200801011600,200801011630,-9999,31.26,0.28,423
200801011630,200801011700,-9999,30.9,0.35,295
200801011700,200801011730,-9999,30.54,0.37,168
200801011730,200801011800,-9999,30.11,-9999,51
200801011800,200801011830,-9999,27.76,-9999,17
200801011830,200801011900,-9999,24.41,-9999,4
200801011900,200801011930,-9999,24.06,-9999,1
200801011930,200801012000,-9999,23.98,-9999,0
200801012000,200801012030,-9999,23.88,-9999,1
200801012030,200801012100,-9999,23.42,-9999,1
200801012100,200801012130,-9999,23.7,-9999,3
200801012130,200801012200,-9999,23.73,0.2,2
200801012200,200801012230,-9999,23.98,0.24,2
200801012230,200801012300,-9999,23.3,0.16,1
200801012300,200801012330,1.31972,23.32,0.14,2
200801012330,200801020000,-9999,23.32,0.26,1
200801020000,200801020030,-9999,23.41,0.3,1
200801020030,200801020100,-9999,23.25,0.25,0
200801020100,200801020130,-9999,23.22,0.2,0
200801020130,200801020200,-9999,23.24,0.24,0
200801020200,200801020230,-9999,23.29,0.21,0
200801020230,200801020300,-9999,23.18,0.19,0
200801020300,200801020330,0.351111,23.35,0.22,1
200801020330,200801020400,-2.84315,23.41,0.19,0
200801020400,200801020430,-0.469074,23.83,0.26,0
200801020430,200801020500,1.47185,24.3,0.17,1
200801020500,200801020530,1.40574,24.36,0.12,0
200801020530,200801020600,2.20046,24.3,0.17,0
200801020600,200801020630,0.813611,24.22,0.06,1
200801020630,200801020700,0.611481,24.25,0.04,27
200801020700,200801020730,-1.38046,24.63,0.12,84
200801020730,200801020800,-1.78037,25.41,0.18,137
200801020800,200801020830,-2.70093,25.92,0.06,196
200801020830,200801020900,-3.87722,26.52,0.03,264
200801020900,200801020930,-3.59296,27.14,0.13,279
200801020930,200801021000,-6.83509,27.66,0.15,485
200801021000,200801021030,-6.66676,28,0.16,538
200801021030,200801021100,-9999,28.41,0.29,490
200801021100,200801021130,-9999,29.1,0.3,352
200801021130,200801021200,-8.51907,29.47,0.31,512
200801021200,200801021230,-9.75843,29.7,0.28,518
200801021230,200801021300,-9999,26.99,-9999,262
200801021300,200801021330,-9999,26.49,-9999,440
200801021330,200801021400,-9999,27.39,-9999,718
200801021400,200801021430,-9999,27.77,-9999,588
200801021430,200801021500,-9999,27.72,-9999,603
200801021500,200801021530,-9999,27.65,0.34,344
200801021530,200801021600,-2.6,27.27,0.03,144
200801021600,200801021630,-11.3465,27.36,0.07,138
200801021630,200801021700,-9999,27.33,0.06,137
200801021700,200801021730,-7.81148,27.13,0.15,79
200801021730,200801021800,-9999,26.75,0.19,88
200801021800,200801021830,-9999,26.21,0.1,40
200801021830,200801021900,-9999,25.9,0.12,12
200801021900,200801021930,-9999,25.92,0.42,0
200801021930,200801022000,-9999,25.73,0.19,0
200801022000,200801022030,-9999,25.29,0.15,0
200801022030,200801022100,-9999,25.57,0.19,0
200801022100,200801022130,-9999,25.87,0.2,0
200801022130,200801022200,-9999,25.99,0.25,0
200801022200,200801022230,-9999,26.08,0.25,0
200801022230,200801022300,2.60796,26.18,0.22,0
200801022300,200801022330,-9999,26.17,0.24,0
200801022330,200801030000,1.0988,26.22,0.26,0
200801030000,200801030030,0.951481,26.22,0.16,0
200801030030,200801030100,0.851481,26.21,0.16,0
200801030100,200801030130,0.648148,26.19,0.21,0
200801030130,200801030200,1.52407,26.07,0.13,0
200801030200,200801030230,1.5463,25.97,0.17,0
200801030230,200801030300,0.629167,26.02,0.18,0
200801030300,200801030330,1.02213,25.93,0.15,0
200801030330,200801030400,1.36528,25.98,0.13,0
200801030400,200801030430,1.50685,25.94,0.09,0
200801030430,200801030500,-9999,26.06,0.09,0
200801030500,200801030530,3.05741,25.97,0.06,0
200801030530,200801030600,-0.00805556,25.9,0.05,0
200801030600,200801030630,4.62806,25.76,0.09,2
200801030630,200801030700,-9999,25.79,0.09,17
200801030700,200801030730,-9999,25.86,0.33,29
200801030730,200801030800,-9999,25.67,0.26,154
200801030800,200801030830,-9999,26.85,0.08,330
200801030830,200801030900,-9999,27.9,0.15,492
200801030900,200801030930,-8.98093,28.24,0.22,528
200801030930,200801031000,-9999,28.76,0.31,538
200801031000,200801031030,-8.60148,29.13,0.35,833
200801031030,200801031100,-7.40583,29.86,0.42,966
200801031100,200801031130,-7.38833,29.78,0.31,754
200801031130,200801031200,-11.3395,30.25,0.37,965
200801031200,200801031230,-11.9394,30.27,0.38,859
200801031230,200801031300,-10.2463,30.43,0.4,699
200801031300,200801031330,-10.5953,28.2,0.43,203
200801031330,200801031400,-9999,26.9,0.43,206
200801031400,200801031430,-9999,26.38,0.37,282
200801031430,200801031500,-7.49194,26.78,0.32,236
200801031500,200801031530,-1.89,26.96,0.28,295
200801031530,200801031600,-8.17065,27.32,0.19,273
200801031600,200801031630,-3.69102,27.67,0.12,238
200801031630,200801031700,-4.43204,28.06,0.07,204
200801031700,200801031730,-2.77111,28.47,0.16,167
200801031730,200801031800,-2.26426,28.67,0.11,154
200801031800,200801031830,-1.14324,28.46,0.15,63
200801031830,200801031900,3.1475,28.18,0.09,10
200801031900,200801031930,0.243889,28.07,0.09,0
200801031930,200801032000,0.936759,28.03,0.16,0
200801032000,200801032030,2.03454,27.8,0.11,0
200801032030,200801032100,1.55574,27.55,0.14,0
200801032100,200801032130,-9999,27.05,0.16,0
200801032130,200801032200,-9999,26.12,0.13,0
200801032200,200801032230,-9999,26.02,0.08,0
200801032230,200801032300,-9999,26,0.09,0
200801032300,200801032330,-9999,25.82,0.18,0
200801032330,200801040000,-9999,26.01,-9999,0
200801040000,200801040030,-9999,24.96,-9999,1
200801040030,200801040100,-9999,24.65,-9999,0
200801040100,200801040130,-9999,25.04,-9999,0
200801040130,200801040200,-9999,25.12,0.2,0
200801040200,200801040230,-4.65315,25.72,0.11,0
200801040230,200801040300,-9999,25.84,-9999,1
200801040300,200801040330,-9999,26.07,0.12,1
200801040330,200801040400,-9999,24.72,0.41,1
200801040400,200801040430,-9999,24.46,0.2,0
200801040430,200801040500,-9999,24.41,0.16,0
200801040500,200801040530,-9999,24.5,0.12,0
200801040530,200801040600,-9999,24.75,0.07,1
200801040600,200801040630,-9999,24.84,0.1,1
200801040630,200801040700,-9999,25.26,0.18,9
200801040700,200801040730,-9999,25.44,0.12,23
200801040730,200801040800,-9999,25.47,0.33,42
